mode,recovery_us,recovery_ms
poll,23010,23.010
poll,22725,22.725
poll,26797,26.797
poll,32124,32.124
poll,15434,15.434
poll,23535,23.535
poll,35020,35.020
poll,14186,14.186
poll,131329,131.329
poll,124881,124.881
poll,91216,91.216
poll,95012,95.012
poll,30198,30.198
poll,32646,32.646
poll,102074,102.074
poll,28189,28.189
poll,8404,8.404
poll,6157,6.157
poll,155644,155.644
poll,124737,124.737
poll,5651,5.651
poll,36138,36.138
poll,26961,26.961
poll,20513,20.513
poll,6682,6.682
poll,115556,115.556
poll,97103,97.103
poll,86652,86.652
poll,17485,17.485
poll,11048,11.048
poll,13636,13.636
poll,10557,10.557
poll,120693,120.693
poll,22077,22.077
poll,23385,23.385
poll,91281,91.281
poll,90192,90.192
poll,20209,20.209
poll,15112,15.112
poll,158074,158.074
poll,28645,28.645
poll,107773,107.773
poll,17988,17.988
poll,9213,9.213
poll,107299,107.299
poll,32017,32.017
poll,17303,17.303
poll,34337,34.337
poll,25484,25.484
poll,25103,25.103
poll,16823,16.823
poll,13128,13.128
poll,12797,12.797
poll,13396,13.396
poll,6485,6.485
poll,88481,88.481
poll,147370,147.370
poll,5850,5.850
poll,26776,26.776
poll,8681,8.681
poll,11775,11.775
poll,17183,17.183
poll,26661,26.661
poll,7199,7.199
poll,21916,21.916
poll,11195,11.195
poll,82584,82.584
poll,91654,91.654
poll,15624,15.624
poll,27410,27.410
poll,148878,148.878
poll,21093,21.093
poll,10519,10.519
poll,20261,20.261
poll,86428,86.428
poll,28949,28.949
poll,12054,12.054
poll,30782,30.782
poll,79054,79.054
poll,16405,16.405
poll,23425,23.425
poll,128276,128.276
poll,134028,134.028
poll,150559,150.559
poll,21979,21.979
poll,10971,10.971
poll,81595,81.595
poll,19085,19.085
poll,5438,5.438
poll,7610,7.610
poll,11474,11.474
poll,128731,128.731
poll,81324,81.324
poll,15404,15.404
poll,25793,25.793
poll,20897,20.897
poll,138109,138.109
poll,7716,7.716
poll,121670,121.670
poll,133090,133.090
